student_id,student_name,subject,grade
9b5f5c9e-6f92-4829-b3b1-b07c51f14d45,James Hutchinson,Computer Science,81
77d72bf8-8b3a-4ded-a617-35acf35fb96e,Christopher Hall,Physics,97
4f2ab5f4-6017-426b-8bca-f4e2999051a8,Matthew Patterson,Geography,14
99ed0f13-c1f7-41a8-bf42-8e9a40b8303f,Mark Craig,English Literature,83
dd929294-796b-48d3-ad53-65ac447a8995,Cheryl Henry,Geography,21
0aed16c9-8f26-4fee-8072-563b3f8bb99e,Heather Chandler,Biology,6
bac79bcf-352d-415b-b8fc-b17d89546960,Robin Griffin,Mathematics,95
73454486-a29b-40d8-b294-6c2b298bf0e5,John Smith,Art,38
903ee3bf-da33-409a-b53d-a897be8d548a,Ashley Williamson,Music,68
e210a60d-3659-4a16-a201-caeeb88a8dcf,Zachary Anthony,Geography,8
b2afb516-ce58-4f4d-b920-2aed099ab8a2,Traci Carlson,Biology,61
48794bd3-19a8-460d-8c2e-8ed17f8b4b0d,Justin Floyd,Biology,13
ad8bd91a-3759-46c6-a47b-7aaa991ee0cf,Michael Johnson,History,80
b230897b-e2eb-4c3b-95e3-536fcb26edbd,John Ochoa,English Literature,70
13926c28-deef-4bb8-a643-b964ecd7d18b,Joshua Chen MD,English Literature,4
5f0f6421-f6e9-4f86-b07e-69831171bd35,Taylor Meyer,English Literature,100
92747fdc-f271-4e9d-87ca-80a64fa95b82,James Meyer,History,37
2a897a1c-51df-4797-9d3a-6ec4a431d5ed,Mary Williams,Computer Science,87
48cd874e-00de-4880-ac1f-58a144fc17e6,Bobby Ellis,Chemistry,96
d4ee2e54-3fe7-4ab8-912e-ff59b8f9857f,Marcus Madden,Physics,55
6626fbc7-b410-48f6-9877-e4892b89d80f,Amanda Carter,Chemistry,17
d3fc3fa8-b0a6-4365-b421-1f0ffe0d5575,Marcus Lee,History,99
7b29584d-0792-46ca-b403-f6349398e265,Benjamin Wilson,Art,90
9fc51833-d1b2-4e2f-8999-1cebc7e1ab1b,Monique Phillips,Biology,95
0700bc9b-c8bf-4155-aa39-6d6821c6a418,Kenneth Garner,Art,74
3fc37b43-fca4-4b18-a1db-09b7f23d44eb,Melissa Shepard,Chemistry,96
807b806e-4540-406f-ae80-6ede61324c98,Rebecca White,Biology,50
